,Wardname,Population2011Census,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy
239,Hackney - Clissold,12212.0,60.9,77.1,83.5
240,Hammersmith and Fulham - Avonmore and Brook Green,12216.0,43.0,79.2,82.9
241,Croydon - Coulsdon East,12244.0,65.1,81.8,85.7
242,Bromley - Crystal Palace,12255.0,70.6,75.5,82.0
243,Harrow - Marlborough,12259.0,75.1,78.9,84.3
244,Havering - Hacton,12262.0,45.4,80.6,85.2
245,Harrow - Harrow on the Hill,12270.0,78.4,81.2,84.2
246,Hackney - Lordship,12280.0,111.6,75.1,84.8
247,Hounslow - Heston Central,12288.0,80.8,77.2,83.2
248,Hounslow - Heston East,12319.0,83.5,85.6,86.2
249,Southwark - East Dulwich,12321.0,76.7,81.2,82.9
250,Hounslow - Cranford,12330.0,117.4,78.4,86.8
251,Hillingdon - South Ruislip,12364.0,82.1,77.6,83.8
252,Camden - Haverstock,12364.0,65.9,76.7,81.4
253,Kingston upon Thames - Canbury,12373.0,77.1,77.2,81.6
254,Hackney - Springfield,12378.0,126.5,80.2,84.2
255,Haringey - Crouch End,12395.0,59.1,78.1,82.3
256,Islington - St. George's,12400.0,44.6,75.4,82.9
257,Southwark - Village,12402.0,65.5,77.9,81.6
258,Tower Hamlets - St. Katherine's and Wapping,12411.0,61.0,76.1,79.1
259,Harrow - Greenhill,12420.0,63.3,76.4,82.1
260,Hounslow - Heston West,12438.0,87.3,79.7,82.5
261,Hackney - Stoke Newington Central,12445.0,50.1,74.9,85.9
262,Barking and Dagenham - Gascoigne,12452.0,130.2,73.4,83.6
263,Westminster - Hyde Park,12462.0,46.0,87.9,91.3
264,Havering - Elm Park,12466.0,63.2,76.9,84.5
265,Harrow - Canons,12471.0,72.9,81.1,87.2
266,Havering - Rainham and Wennington,12482.0,64.2,77.2,82.0
267,Haringey - Fortis Green,12488.0,49.2,81.5,87.3
268,Greenwich - Eltham North,12519.0,57.9,77.9,86.0
269,Lambeth - Thornton,12526.0,65.8,79.0,85.2
270,Havering - Cranham,12528.0,47.0,80.8,84.5
271,Greenwich - Eltham South,12541.0,61.9,77.4,85.8
272,Hackney - Hackney Central,12548.0,68.7,75.0,80.3
273,Hackney - New River,12551.0,128.2,79.9,82.8
274,Westminster - Queen's Park,12563.0,83.3,76.8,83.8
275,Havering - Heaton,12570.0,61.6,76.7,81.0
276,Redbridge - Barkingside,12609.0,68.7,81.0,85.7
277,Waltham Forest - Forest,12609.0,99.6,77.9,80.7
278,Camden - Camden Town with Primrose Hill,12613.0,56.3,79.6,84.4
279,Hillingdon - Charville,12622.0,83.5,81.6,86.0
280,Southwark - South Camberwell,12629.0,56.9,76.4,84.6
281,Redbridge - Fairlop,12630.0,89.8,80.2,81.1
282,Havering - Harold Wood,12650.0,60.4,79.8,82.6
283,Hounslow - Hounslow West,12658.0,95.8,76.4,81.5
284,Haringey - Hornsey,12659.0,57.5,74.7,83.2
285,Waltham Forest - Cathall,12700.0,79.3,74.9,81.6
286,Hounslow - Bedfont,12701.0,83.9,77.3,80.9
287,Camden - Belsize,12702.0,83.4,82.3,83.9
288,Enfield - Grange,12709.0,60.0,82.5,86.1
289,Westminster - Westbourne,12759.0,69.0,73.8,78.0
290,Hammersmith and Fulham - Sands End,12760.0,48.6,78.2,81.8
291,Croydon - Sanderstead,12777.0,55.7,82.5,84.2
292,Redbridge - Cranbrook,12780.0,83.3,77.5,83.0
293,Barking and Dagenham - Abbey,12786.0,103.7,82.9,87.2
294,Brent - Northwick Park,12811.0,39.4,80.7,81.6
295,Harrow - Roxbourne,12828.0,62.1,75.0,84.5
296,Havering - Upminster,12833.0,38.6,80.1,81.6
297,Southwark - Faraday,12839.0,65.5,78.3,83.5
298,Lambeth - Clapham Common,12852.0,43.3,77.8,82.1
299,Greenwich - Blackheath Westcombe,12875.0,69.3,79.4,83.8
300,Waltham Forest - Leytonstone,12879.0,60.0,76.8,84.0
301,Camden - Swiss Cottage,12900.0,68.6,81.6,85.0
302,Hillingdon - Hillingdon East,12906.0,83.7,77.6,83.5
303,Redbridge - Fullwell,12910.0,75.1,78.8,83.2
304,Havering - Mawneys,12915.0,65.3,80.2,89.2
305,Islington - Mildmay,12917.0,48.5,76.9,81.0
306,Hackney - Hackney Downs,12921.0,67.4,74.9,83.3
307,Tower Hamlets - Bow West,12939.0,60.3,74.0,80.9
308,Havering - Hylands,12952.0,43.1,77.8,84.5
309,Redbridge - Hainault,12953.0,80.4,78.1,83.8
310,Havering - Pettits,12955.0,59.6,81.0,83.9
